"","term","estimate","std.error","statistic","p.value","response"
"1","(Intercept)",20.0543200744097,4.92649217340836,4.07070982121042,8.67718026272245e-05,"CEWL (g/m2h)"
"2","osmolality_mmol_kg_mean",-0.0264941327819987,0.0133476267181523,-1.98493210376999,0.0495536843499481,"CEWL (g/m2h)"
