"","Pnt_ID","Serial","DateTime","Micro_1","Breed_Col","bpmTempC","dwsTempOut","ModTempC"
"1","0001","245748",2021-05-01 10:13:00,"Burrow slide","",NA,28.8508296488336,30.7969387619777
"2","0002","245748",2021-05-01 11:13:00,"Grass trims","",NA,30.2218566382512,36.8309448063594
"15","0015","252887",2021-05-01 13:37:00,"Open","",NA,32.7364150015971,39.7075898033776
"27","0027","Uncollared",2021-05-01 16:29:00,"Open","",NA,32.7872220509795,37.889160099896
"28","0028","229073",2021-05-01 16:38:00,"Burrow","",NA,32.6942419781639,37.228120477003
"29","0029","229077",2021-05-01 16:58:00,"Open","",NA,32.4238373602784,33.9438417650213
"41","0041","229078",2021-05-02 09:31:00,"Open","Male 1.5",NA,24.9932453241013,28.5449821166471
"51","0051","245760",2021-05-02 10:49:00,"Open","",33.6587189125171,27.867667663442,36.4830415723105
"61","0061","245756",2021-05-02 12:30:00,"Open","Light",NA,28.2165365290229,37.5021640343869
"62","0062","245745",2021-05-02 12:37:00,"Open","None",NA,28.3318338920428,36.9346091968273
"63","0063","229063",2021-05-02 12:43:00,"Open","",35.3823178034884,28.4386698614562,35.8790523169
"64","0064","252884",2021-05-02 12:46:00,"Open","None",NA,28.4943852444532,38.8891882938376
"69","0069","245744",2021-05-02 12:58:00,"Open","Moderate",NA,28.7284049774906,37.4444107314343
"73","0073","252885",2021-05-02 13:08:00,"Open","Light",NA,28.9310095320855,37.7440454875894
"77","0077","245752",2021-05-02 13:16:00,"Open","None",NA,29.0933081817263,37.3060869261763
"78","0078","245747",2021-05-02 13:21:00,"Open","Moderate",NA,29.1931974730785,37.821974799758
"79","0079","245761",2021-05-02 14:02:00,"Open","",36.9439010144388,29.8553835759543,37.3947961311372
"80","0080","252883",2021-05-02 14:04:00,"Open","None",NA,29.8760864631618,37.3450565804163
"84","0084","245742",2021-05-02 14:14:00,"Open","Moderate",NA,29.960476574963,36.2707881073047
"89","0089","229070",2021-05-02 14:28:00,"Open","",NA,30.0307218598431,39.0705376249936
"93","0093","245762",2021-05-02 14:40:00,"Open","None",NA,30.0537134555,36.503342274426
"96","0096","229069",2021-05-02 14:57:00,"Open","Male 2",38.8846887176393,30.0411783735676,36.8901453332175
"97","0097","229077",2021-05-02 14:59:00,"Open","None",NA,30.0369883863223,38.8173024700369
"103","0103","229073",2021-05-02 15:14:00,"Open","None",NA,29.9929471512871,36.6911416668019
"108","0108","245741",2021-05-02 15:30:00,"Open","None",NA,29.9320106445391,36.7378781735942
"110","0110","229060",2021-05-02 15:37:00,"Open","None",NA,29.9047746903608,36.2511007125503
"111","0111","245760",2021-05-02 15:45:00,"Open","Moderate",NA,29.8756231252507,36.7202265308448
"112","0112","229066",2021-05-02 15:46:00,"Open","",41.4290499684981,29.8722204088982,36.5150456882231
"123","0123","229079",2021-05-02 16:18:00,"Burrow","",NA,29.8103780669868,36.4861729674492
"124","0124","245753",2021-05-04 10:37:00,"No Visual","",36.3252631401384,19.4468866131884,32.7650102249268
"125","0125","252886",2021-05-04 10:52:00,"Shade - Partial","Moderate",37.4492747380931,19.8031888926935,40.6973202142532
"126","0126","229069",2021-05-04 11:02:00,"Open","Moderate",41.4757506131265,20.0691001151172,40.2110364658448
"127","0127","245761",2021-05-04 11:17:00,"Open","Moderate",41.4676222604794,20.4976429441742,41.4942924261011
"128","0128","229079",2021-05-04 11:37:00,"Open","Moderate",20.7194737060749,21.0973626010803,44.3170319623142
"129","0129","245757",2021-05-04 11:54:00,"Dead/Missing","",7.99496407058535,21.604476203602,46.4178702096456
"130","0130","245754",2021-05-04 12:14:00,"Shade - Full","",36.3838937675213,22.1643913503622,42.2294352540479
"131","0131","245751",2021-05-04 12:35:00,"Burrow","",35.6290587808616,22.6998311004674,43.9115035181355
"132","0132","229063",2021-05-04 12:51:00,"Shade - Full","None",39.4662223132733,23.0753828242519,44.218279197464
"133","0133","245759",2021-05-04 13:14:00,"Shade - Full","Moderate",37.3790311484582,23.5722461923048,41.3609957542749
"134","0134","229059",2021-05-04 13:28:00,"Burrow","",NA,23.8529712473488,46.8500046552847
"135","0135","245745",2021-05-04 14:12:00,"Shade - Partial","None",39.2738733824132,24.6512241341027,46.6243815509184
"136","0136","245756",2021-05-04 14:23:00,"Shade - Partial","",38.8400754635928,24.83285191268,47.0302607069931
"137","0137","252884",2021-05-04 14:33:00,"Shade - Partial","None",41.5775070911092,24.9901942069716,43.0564794903825
"138","0138","252885",2021-05-04 14:44:00,"Shade - Partial","",40.3086699971494,25.1534397631237,40.446068026353
"139","0139","245748",2021-05-04 14:56:00,"Shade - Full","Moderate",36.6040193540352,25.3182029443816,37.9270752965979
"140","0140","252887",2021-05-04 15:07:00,"Burrow","",36.323756611819,25.45553403104,46.3524785294373
"151","0151","229080",2021-05-04 15:44:00,"Open","",45.0924680812393,25.8028344677419,43.8575757690915
"163","0163","229078",2021-05-04 16:33:00,"Burrow","",36.0499122390537,25.92394068218,40.1537882904754
"174","0174","245741",2021-05-04 17:12:00,"Shade - Partial","None",40.4107838423227,25.7006195281298,38.3571334842509
"184","0184","229060",2021-05-04 17:48:00,"Open","None",44.2705108745999,25.2212707177225,35.5453657335961
"195","0195","229065",2021-05-04 18:25:00,"Burrow","",20.992112990402,24.4366257883335,32.7197083513435
"206","0206","245748",2021-05-07 10:47:00,"Open","Moderate",37.6667146429839,27.1820653746824,37.9212429325447
"207","0207","252887",2021-05-07 11:00:00,"Open","Moderate",36.323756611819,27.5142035335713,38.7615288930138
"208","0208","229080",2021-05-07 11:15:00,"Open","Bright",39.0253647932694,27.895434226224,38.4092285530255
"209","0209","245745",2021-05-07 11:31:00,"Open","Moderate",35.149696015331,28.2906556611922,41.7635248117348
"210","0210","245744",2021-05-07 11:45:00,"Open","Moderate",36.2274223198333,28.6189576026165,40.7523188101824
"211","0211","245752",2021-05-07 12:48:00,"Burrow","",38.9714353420315,29.7664035931245,30.3002886719915
"212","0212","245742",2021-05-07 12:58:00,"Shade - Partial","Moderate",38.850984659299,29.8996628503976,40.3834186892793
"213","0213","252883",2021-05-07 12:58:00,"Shade - Full","Moderate",31.8189915713964,29.8996628503976,40.3834186892793
"214","0214","245753",2021-05-07 14:37:00,"No Visual","",NA,30.7185720574677,32.9019864804842
"215","0215","229078",2021-05-07 14:52:00,"Shade - Partial","",40.0366959030123,30.7839656931265,40.1936563994564
"216","0216","229079",2021-05-07 16:04:00,"Burrow","",20.7194737060749,30.9481034521502,38.6907618850189
"217","0217","229066",2021-05-07 16:13:00,"Open","",39.7443298275014,30.953601969319,41.2639702872969
"218","0218","229069",2021-05-07 16:25:00,"Open","Bright",36.992989780996,30.9526660112252,37.4704346772954
"219","0219","245761",2021-05-07 17:15:00,"Burrow","",35.9582369498507,30.7639804875118,36.5184383142921
"220","0220","245760",2021-05-07 17:30:00,"Open","",37.8264176265487,30.6209170065757,35.6509329190016
"221","0221","229059",2021-05-08 08:38:00,"Open","Bright",29.9449974919575,26.1803412112065,22.9175985787636
"222","0222","229063",2021-05-08 08:53:00,"Open","Bright",31.5788627415636,26.6663218680479,30.0992241237605
"223","0223","245751",2021-05-08 09:23:00,"Open","Bright",34.4986019358577,27.4085464510483,31.2534252227107
"224","0224","245757",2021-05-08 09:42:00,"Burrow","",27.8484855232796,27.7977397689161,30.5568701820848
"225","0225","229072",2021-05-08 09:55:00,"Open","Bright",37.3539544566346,28.0614585465529,34.2433487113443
"226","0226","229066",2021-05-08 10:06:00,"Burrow","",30.9471260062639,28.2974131841578,34.2858154514098
"227","0227","229060",2021-05-08 10:21:00,"Open","Moderate",35.7724019529483,28.6447998896627,35.2913767580626
"228","0228","229073",2021-05-08 10:36:00,"Dead/Missing","",51.3415474982822,29.0174412316738,33.8473933441488
"229","0229","245756",2021-05-08 12:22:00,"Open","",34.8134663060872,31.9304888152061,38.0970854797833
"230","0230","245747",2021-05-08 12:57:00,"Burrow","",35.5352314587628,32.7613727605998,41.0167908136207
"231","0231","245748",2021-05-08 14:54:00,"Open","Bright",37.6667146429839,33.1047840411547,38.2508732901351
"232","0232","229078",2021-05-08 15:49:00,"Open","Can?t see",38.0950631266822,32.4980848024266,40.1106232913307
"243","0243","245753",2021-05-08 16:54:00,"Burrow","",37.346340133821,32.5417253595335,36.3789251763346
"244","0244","252884",2021-05-09 12:18:00,"Burrow","",36.7729824860327,30.6580377630572,40.5876166465886
"245","0245","245744",2021-05-09 12:31:00,"Burrow","Can?t see",35.1900497963621,30.8846877650123,47.3867078487525
"246","0246","252883",2021-05-09 12:50:00,"Open","None",34.3911887908346,31.1968518088472,41.5539488256773
"247","0247","229078",2021-05-10 09:59:00,"Open","Moderate",NA,24.5248532817263,35.2959786116631
"250","0250","245760",2021-05-10 10:41:00,"Open","Moderate",NA,26.0659091501286,37.6718766201162
"261","0261","229060",2021-05-10 11:15:00,"Open","Light",37.6135967273863,27.5173476905808,39.8556794535404
"272","0272","252887",2021-05-10 12:08:00,"Open","Moderate",39.9297820684666,29.6111242252054,41.5082600198436
"283","0283","229063",2021-05-10 12:55:00,"Open","Bright",40.4031630508523,30.905917903004,43.9038606234879
"284","0284","245753",2021-05-10 13:09:00,"Shade - Full","",37.346340133821,31.1897712601595,32.7618417545524
"285","0285","229079",2021-05-10 13:21:00,"Burrow","",20.7194737060749,31.3995742144852,43.4115714198428
"286","0286","229072",2021-05-10 13:25:00,"Open","Bright",40.5750844330431,31.4629488762999,44.0895563987655
"297","0297","245757",2021-05-10 14:00:00,"Burrow","",27.8484855232796,31.8888888888889,45.8205385454987
"298","0298","229066",2021-05-10 14:08:00,"Shade - Partial","Light",39.7443298275014,31.956379905999,41.6004989811951
"299","0299","245761",2021-05-10 14:19:00,"Burrow","",35.9582369498507,32.0319431531423,43.1767486505409
"300","0300","229069",2021-05-10 14:23:00,"Shade - Full","Moderate",38.8846887176393,32.0544570185252,44.3794685966169
"301","0301","229080",2021-05-10 14:37:00,"Open","Light",42.0651283510485,32.1123271445458,46.9323495520768
"312","0312","245745",2021-05-11 10:13:00,"Open","Moderate",38.2606632795761,17.7181435283467,38.8294785407198
"313","0313","245756",2021-05-11 10:19:00,"Open","Bright",37.9009931646493,18.0145808998495,38.355045508856
"314","0314","245744",2021-05-11 10:24:00,"Open","Moderate",41.830369147433,18.2678298974446,34.7183842861548
"315","0315","252884",2021-05-11 10:36:00,"Burrow","",41.5775070911092,18.8928925675853,41.2080120727568
"316","0316","252885",2021-05-11 10:42:00,"Shade - Partial","Can?t tell",37.7494489826957,19.2114949657227,39.7519022661079
"317","0317","245747",2021-05-11 10:53:00,"Open","Bright",39.8002416554104,19.7994105476217,41.1253868685581
"318","0318","245752",2021-05-11 10:58:00,"Open","Moderate",38.9714353420315,20.0661006717044,40.4760434063663
"319","0319","252883",2021-05-11 11:07:00,"Open","None",38.9490645801301,20.5413935389257,40.467737598441
"320","0320","245742",2021-05-11 11:14:00,"Shade - Partial","Moderate",39.8692623222736,20.9039379492263,39.6067824103379
"321","0321","245760",2021-05-11 11:39:00,"Shade - Partial","Bright",41.5696005305336,22.1072981970315,42.6862463987038
"322","0322","229060",2021-05-11 11:42:00,"Shade - Partial","Can?t tell",41.8432614001391,22.2384673865884,42.7103157975822
"323","0323","245761",2021-05-11 12:00:00,"Shade - Partial","Moderate",38.8125827605534,22.9444444444444,44.8392482936693
"324","0324","229069",2021-05-11 12:08:00,"Open","Moderate",39.7744927019324,23.207172481301,44.795053699582
"325","0325","229066",2021-05-11 12:12:00,"Burrow","",37.9367058671217,23.3266330772954,43.9590324382237
"326","0326","252887",2021-05-11 12:55:00,"Open","Moderate",41.1651122551387,24.190724633099,43.2597979032069
"327","0327","229070",2021-05-11 13:02:00,"Shade - Partial","Can?t tell",41.5372151014418,24.2724206204346,40.7921472311279
"328","0328","229080",2021-05-11 13:07:00,"Shade - Partial","Moderate",39.0253647932694,24.323072682587,44.6555680878132
"338","0338","229077",2021-05-11 13:49:00,"Burrow","",35.4542137583353,24.5728957511188,46.3243043666053
"349","0349","229060",2021-05-11 14:29:00,"Burrow","",NA,NA,51.4336474859202
"360","0360","229072",2021-05-11 15:29:00,"Burrow","",39.0309201743104,NA,54.8687109096297
"371","0371","229078",2021-05-11 16:06:00,"Open","Moderate",45.6421430037114,NA,52.4729223793681
"382","0382","252886",2021-05-11 16:42:00,"Open","Moderate",43.4155401817344,NA,50.8027239279353
"392","0392","252887",2021-05-12 09:15:00,"Open","Moderate",39.9297820684666,NA,48.7282386517964
"403","0403","245753",2021-05-12 10:05:00,"Burrow","",37.346340133821,NA,51.216399409517
"414","0414","245741",2021-05-12 10:56:00,"Shade - Full","Bright",39.3793589254996,NA,47.9289470406992
"425","0425","229065",2021-05-12 11:32:00,"Open","Moderate",20.992112990402,NA,51.4212095259716
"436","0436","245750",2021-05-12 12:10:00,"Shade - Full","None",39.9044993605648,NA,48.0079988019017
"447","0447","229059",2021-05-12 12:49:00,"Shade - Full","Bright",40.9490678927919,NA,51.5819734416444
"458","0458","245748",2021-05-12 13:59:00,"Shade - Full","Moderate",40.7740626541355,NA,52.1550920974121
"459","0459","229063",2021-05-12 14:09:00,"Shade - Partial","Moderate",41.3207730864546,NA,54.5341612979384
"460","0460","245745",2021-05-12 14:26:00,"Shade - Partial","Moderate",43.3410731384039,NA,51.7094636598092
"461","0461","245757",2021-05-12 14:39:00,"Burrow","",25.906725506951,NA,57.856727344402
"462","0462","229066",2021-05-12 14:47:00,"Burrow","",37.9367058671217,NA,52.9219229121014
"463","0463","245762a",2021-05-12 14:55:00,"Shade - Partial","Moderate",40.0605066219359,NA,50.9533687154295
