# STATION: CXXC1
# STATION NAME: COCHORA RANCH
# LATITUDE: 35.11807
# LONGITUDE: -119.59608
# ELEVATION [ft]: 2697
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_set_1,volt_set_1,soil_moisture_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,Fahrenheit,Inches,volts,%,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,code,Fahrenheit
CXXC1,09/30/2020 22:00 PDT,84.6,30.0,4.3,48.0,,0.0,0.11,85.0,,,3.1,,,49.82,,NE,82.51
CXXC1,09/30/2020 23:00 PDT,82.2,30.0,5.99,49.0,,0.0,0.08,82.0,,,2.9,,,47.72,,NE,80.63
CXXC1,10/01/2020 00:00 PDT,82.2,29.0,6.4,47.0,,0.0,0.05,80.0,,,2.4,,,46.82,,NE,80.55
CXXC1,10/01/2020 01:00 PDT,81.9,30.0,5.0,48.0,,0.0,0.04,79.0,0.0,,2.9,,,47.46,,NE,80.42
CXXC1,10/01/2020 02:00 PDT,81.3,32.0,5.9,49.0,,0.0,0.06,78.0,,,2.7,,,48.65,,NE,80.16
CXXC1,10/01/2020 03:00 PDT,80.2,33.0,6.29,45.0,,0.0,0.04,77.0,,,2.4,,,48.5,,NE,79.47
CXXC1,10/01/2020 04:00 PDT,79.3,37.0,6.4,50.0,,0.0,0.05,76.0,,,2.4,,,50.76,,NE,
CXXC1,10/01/2020 05:00 PDT,79.3,37.0,6.2,50.0,,0.0,0.06,75.0,,,3.1,,,50.76,,NE,
CXXC1,10/01/2020 06:00 PDT,81.0,37.0,4.0,43.0,,0.0,0.05,74.0,,,2.7,,,52.29,,NE,80.37
CXXC1,10/01/2020 07:00 PDT,81.1,40.0,3.69,51.0,,0.0,0.06,73.0,,,2.6,,,54.5,,NE,80.73
CXXC1,10/01/2020 08:00 PDT,77.4,41.0,6.4,47.0,,0.0,1.09,72.0,,,2.6,,,51.83,,NE,
CXXC1,10/01/2020 09:00 PDT,74.7,39.0,5.7,49.0,,0.0,51.82,72.0,,,2.6,,,48.05,,NE,
CXXC1,10/01/2020 10:00 PDT,83.7,28.0,2.4,50.0,,0.0,220.3,75.0,,,3.1,,,47.2,,NE,81.58
CXXC1,10/01/2020 11:00 PDT,84.0,26.0,2.0,198.0,,0.0,407.6,81.0,,,3.4,,,45.51,,SSW,81.65
CXXC1,10/01/2020 12:00 PDT,87.3,23.0,2.8,103.0,,0.0,589.8,88.0,,,3.3,,,45.11,,ESE,84.15
CXXC1,10/01/2020 13:00 PDT,89.6,21.0,3.3,66.0,,0.0,728.9,94.0,,,3.6,,,44.68,,ENE,86.06
CXXC1,10/01/2020 14:00 PDT,90.7,20.0,5.4,54.0,,0.0,805.0,100.0,,,4.4,,,44.33,,NE,87.01
CXXC1,10/01/2020 15:00 PDT,91.8,19.0,7.4,45.0,,0.0,810.0,102.0,,,4.2,,,43.92,,NE,87.96
CXXC1,10/01/2020 16:00 PDT,92.3,18.0,9.6,48.0,,0.0,734.2,102.0,,,4.2,,,42.93,,NE,88.34
CXXC1,10/01/2020 17:00 PDT,92.5,21.0,11.5,40.0,,0.0,602.1,102.0,,,4.5,,,47.12,,NE,88.96
CXXC1,10/01/2020 18:00 PDT,90.7,23.0,10.5,40.0,,0.0,397.4,100.0,,,4.1,,,48.0,,NE,87.4
CXXC1,10/01/2020 19:00 PDT,86.72,24.0,9.3,37.0,,0.0,174.4,96.0,,,3.6,,,45.74,,NE,83.73
CXXC1,10/01/2020 20:00 PDT,86.4,36.0,6.91,46.0,,0.0,21.38,91.0,,,4.0,,,56.36,,NE,85.1
CXXC1,10/01/2020 21:00 PDT,84.0,38.0,3.2,122.0,,0.0,0.15,87.0,,,3.6,,,55.7,,ESE,82.99
CXXC1,10/01/2020 22:00 PDT,79.88,41.0,3.69,69.0,,0.0,0.14,84.0,,,3.1,,,54.07,,ENE,
CXXC1,10/01/2020 23:00 PDT,80.6,25.0,5.31,51.0,,0.0,0.1,82.0,,,2.9,,,41.57,,NE,79.53
CXXC1,10/02/2020 00:00 PDT,85.3,26.0,3.5,63.0,,0.0,0.08,80.0,,,2.6,,,46.62,,ENE,82.7
CXXC1,10/02/2020 01:00 PDT,80.2,32.0,2.8,46.0,,0.0,0.09,78.0,0.0,,2.7,,,47.68,,NE,79.42
CXXC1,10/02/2020 02:00 PDT,77.5,32.0,2.5,56.0,,0.0,0.08,76.0,,,2.4,,,45.3,,NE,
CXXC1,10/02/2020 03:00 PDT,79.0,37.0,1.4,69.0,,0.0,0.08,75.0,,,2.4,,,50.5,,ENE,
CXXC1,10/02/2020 04:00 PDT,76.6,37.0,3.5,58.0,,0.0,0.07,74.0,,,3.2,,,48.35,,ENE,
CXXC1,10/02/2020 05:00 PDT,76.6,31.0,4.8,50.0,,0.0,0.08,73.0,,,2.6,,,43.68,,NE,
CXXC1,10/02/2020 06:00 PDT,76.6,33.0,6.29,48.0,,0.0,0.08,73.0,,,2.6,,,45.32,,NE,
CXXC1,10/02/2020 07:00 PDT,76.5,34.0,4.6,54.0,,0.0,0.08,72.0,,,2.6,,,46.01,,NE,
CXXC1,10/02/2020 08:00 PDT,74.7,36.0,5.4,51.0,,0.0,1.02,71.0,,,2.9,,,45.92,,NE,
CXXC1,10/02/2020 09:00 PDT,75.6,34.0,3.6,53.0,,0.0,49.56,71.0,,,2.6,,,45.22,,NE,
CXXC1,10/02/2020 10:00 PDT,81.0,30.0,1.6,49.0,,0.0,223.4,75.0,,,2.8,,,46.67,,NE,79.81
CXXC1,10/02/2020 11:00 PDT,84.4,25.0,1.2,205.0,,0.0,420.4,80.0,,,3.4,,,44.82,,SSW,81.88
CXXC1,10/02/2020 12:00 PDT,85.8,22.0,2.3,237.0,,0.0,599.4,88.0,,,3.6,,,42.69,,WSW,82.79
