# STATION: CXXC1
# STATION NAME: COCHORA RANCH
# LATITUDE: 35.11807
# LONGITUDE: -119.59608
# ELEVATION [ft]: 2697
# STATE: CA
Station_ID,Date_Time,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,wind_gust_set_1,precip_accum_one_hour_set_1,solar_radiation_set_1,soil_temp_set_1,precip_accum_set_1,volt_set_1,soil_moisture_set_1,air_temp_high_24_hour_set_1,air_temp_low_24_hour_set_1,dew_point_temperature_set_1d,wind_chill_set_1d,wind_cardinal_direction_set_1d,heat_index_set_1d
,,Fahrenheit,%,Miles/hour,Degrees,Miles/hour,Inches,W/m**2,Fahrenheit,Inches,volts,%,Fahrenheit,Fahrenheit,Fahrenheit,Fahrenheit,code,Fahrenheit
CXXC1,09/30/2017 22:00 PDT,66.92,50.0,7.2,33.0,11.3,0.0,0.0,75.6,,13.1,4.7,,,47.58,,NNE,
CXXC1,09/30/2017 23:00 PDT,65.48,52.0,4.9,26.0,8.99,,0.1,,,13.1,,,,47.29,,NNE,
CXXC1,10/01/2017 00:00 PDT,64.4,51.0,3.6,32.0,6.69,,0.0,,,13.0,,,,45.77,,NNE,
CXXC1,10/01/2017 01:00 PDT,63.32,58.0,3.8,27.0,7.2,,0.0,,,13.0,,,,48.19,,NNE,
CXXC1,10/01/2017 02:00 PDT,62.24,65.0,4.09,44.0,8.1,,0.0,,,12.9,,,,50.24,,NE,
CXXC1,10/01/2017 03:00 PDT,62.6,67.0,6.2,31.0,12.71,0.0,0.0,68.2,,12.9,4.3,,,51.41,,NNE,
CXXC1,10/01/2017 04:00 PDT,62.06,63.0,4.9,42.0,13.2,0.0,0.0,66.7,,12.9,4.7,,,49.23,,NE,
CXXC1,10/01/2017 05:00 PDT,60.62,65.0,8.01,42.0,11.41,0.0,0.0,65.8,,12.9,4.6,,,48.7,,NE,
CXXC1,10/01/2017 06:00 PDT,57.2,72.0,5.79,50.0,7.81,0.0,0.0,64.8,,12.9,4.4,,,48.18,,NE,
CXXC1,10/01/2017 07:00 PDT,59.18,68.0,4.81,58.0,7.2,0.0,0.1,63.9,,12.9,4.0,,,48.54,,ENE,
CXXC1,10/01/2017 08:00 PDT,56.84,72.0,4.61,61.0,6.69,0.0,1.3,62.6,,12.8,4.7,,,47.83,,ENE,
CXXC1,10/01/2017 09:00 PDT,60.08,65.0,4.09,53.0,6.8,0.0,53.9,62.6,,14.0,4.2,,,48.19,,NE,
CXXC1,10/01/2017 10:00 PDT,65.48,52.0,2.51,89.0,8.01,0.0,278.3,67.8,,13.9,4.9,,,47.29,,E,
CXXC1,10/01/2017 11:00 PDT,66.2,49.0,5.99,44.0,14.81,0.0,479.8,74.3,,13.9,4.7,,,46.38,,NE,
CXXC1,10/01/2017 12:00 PDT,67.28,36.0,5.1,36.0,12.19,0.0,657.1,81.0,,13.9,5.3,,,39.3,,NE,
CXXC1,10/01/2017 13:00 PDT,69.26,32.0,5.99,54.0,11.21,0.0,785.4,86.7,,13.8,5.1,,,38.05,,NE,
CXXC1,10/01/2017 14:00 PDT,70.7,28.0,6.2,52.0,12.39,0.0,850.0,90.9,,13.8,5.8,,,35.92,,NE,
CXXC1,10/01/2017 15:00 PDT,73.04,24.0,8.01,31.0,14.0,0.0,846.0,91.6,,13.9,5.8,,,34.07,,NNE,
CXXC1,10/01/2017 16:00 PDT,74.3,23.0,6.51,25.0,12.8,0.0,770.2,91.6,,13.8,5.8,,,34.08,,NNE,
CXXC1,10/01/2017 17:00 PDT,73.94,24.0,9.19,24.0,16.28,0.0,631.1,90.3,,13.8,5.8,,,34.83,,NNE,
CXXC1,10/01/2017 18:00 PDT,73.58,22.0,7.7,16.0,15.99,0.0,447.7,88.0,,13.8,5.4,,,32.36,,NNE,
CXXC1,10/01/2017 19:00 PDT,71.06,24.0,6.6,18.0,11.9,0.0,230.5,84.6,,13.8,5.4,,,32.38,,NNE,
CXXC1,10/01/2017 20:00 PDT,67.46,27.0,9.6,34.0,14.29,0.0,38.3,79.5,,13.4,5.3,,,32.21,,NE,
CXXC1,10/01/2017 21:00 PDT,66.56,28.0,9.6,31.0,14.0,0.0,0.1,75.9,,13.2,5.5,,,32.33,,NNE,
CXXC1,10/01/2017 22:00 PDT,64.58,31.0,11.21,34.0,17.29,0.0,0.0,73.4,,13.1,5.4,,,33.13,,NE,
CXXC1,10/01/2017 23:00 PDT,64.76,26.0,10.89,32.0,16.8,0.0,0.1,71.8,,13.1,4.5,,,28.95,,NNE,
CXXC1,10/02/2017 00:00 PDT,63.9,24.0,9.4,24.0,15.7,0.0,0.04,70.0,,13.0,4.3,,,26.27,,NNE,
CXXC1,10/02/2017 01:00 PDT,63.5,17.0,11.41,23.0,18.7,0.0,0.04,68.9,0.0,13.0,4.3,74.3,55.9,17.81,,NNE,
CXXC1,10/02/2017 02:00 PDT,61.7,20.0,14.41,25.0,22.19,0.0,0.03,67.5,,13.0,4.4,,,20.09,,NNE,
CXXC1,10/02/2017 03:00 PDT,60.6,22.0,13.09,32.0,22.59,0.0,0.03,66.0,,12.9,3.7,,,21.4,,NNE,
CXXC1,10/02/2017 04:00 PDT,59.7,25.0,12.19,35.0,18.41,0.0,0.03,64.8,,12.9,4.4,,,23.66,,NE,
CXXC1,10/02/2017 05:00 PDT,57.9,29.0,11.01,41.0,18.19,0.0,0.04,63.5,,12.9,4.3,,,25.66,,NE,
CXXC1,10/02/2017 06:00 PDT,54.1,33.0,4.41,71.0,14.7,0.0,0.05,62.1,,12.9,3.8,,,25.44,,ENE,
CXXC1,10/02/2017 07:00 PDT,51.3,38.0,2.51,79.0,5.3,0.0,0.06,59.7,,12.8,4.3,,,26.35,,E,
CXXC1,10/02/2017 08:00 PDT,50.0,41.0,2.3,70.0,3.89,0.0,1.3,57.9,,12.8,4.5,,,27.03,,ENE,
CXXC1,10/02/2017 09:00 PDT,53.1,38.0,2.3,92.0,4.99,0.0,53.75,57.9,,14.1,4.1,,,27.97,,E,
CXXC1,10/02/2017 10:00 PDT,58.3,32.0,3.4,139.0,7.0,0.0,284.7,63.1,,14.0,4.1,,,28.4,,SE,
CXXC1,10/02/2017 11:00 PDT,61.9,26.0,3.2,91.0,7.9,0.0,495.2,71.1,,13.9,4.3,,,26.49,,E,
CXXC1,10/02/2017 12:00 PDT,62.1,26.0,5.61,22.0,12.59,0.0,670.3,77.2,,13.9,5.0,,,26.66,,NNE,
CXXC1,10/02/2017 13:00 PDT,63.3,24.0,7.61,44.0,12.91,0.0,793.9,82.9,,13.9,4.9,,,25.76,,NE,
CXXC1,10/02/2017 14:00 PDT,64.8,24.0,8.7,49.0,15.59,0.0,857.0,86.7,,13.9,5.2,,,27.04,,NE,
CXXC1,10/02/2017 15:00 PDT,66.2,23.0,9.71,50.0,17.2,0.0,847.0,87.3,,13.9,5.4,,,27.2,,NE,
CXXC1,10/02/2017 16:00 PDT,65.1,25.0,9.19,55.0,14.41,0.0,769.1,86.7,,13.9,5.4,,,28.29,,NE,
CXXC1,10/02/2017 17:00 PDT,66.4,24.0,8.1,58.0,13.0,0.0,629.2,86.2,,13.9,5.2,,,28.4,,ENE,
CXXC1,10/02/2017 18:00 PDT,66.7,23.0,7.61,49.0,11.5,0.0,439.9,84.0,,13.9,5.2,,,27.63,,NE,
CXXC1,10/02/2017 19:00 PDT,65.1,23.0,7.4,55.0,12.19,0.0,224.3,80.4,,13.9,5.0,,,26.27,,NE,
CXXC1,10/02/2017 20:00 PDT,61.9,26.0,5.61,49.0,10.8,0.0,33.55,75.9,,13.4,4.7,,,26.49,,NE,
CXXC1,10/02/2017 21:00 PDT,60.6,29.0,5.39,55.0,9.6,0.0,0.06,72.3,,13.3,4.8,,,28.01,,NE,
CXXC1,10/02/2017 22:00 PDT,59.5,33.0,4.81,50.0,7.7,0.0,0.03,69.6,,13.2,4.4,,,30.21,,NE,
CXXC1,10/02/2017 23:00 PDT,58.3,35.0,3.2,54.0,6.4,0.0,0.04,67.1,,13.1,4.3,,,30.6,,NE,
CXXC1,10/03/2017 00:00 PDT,54.5,40.0,2.51,63.0,5.5,0.0,0.05,65.1,,13.0,4.0,,,30.49,,ENE,
CXXC1,10/03/2017 01:00 PDT,55.8,38.0,4.41,58.0,5.99,0.0,0.04,63.5,0.0,13.0,3.8,68.0,49.5,30.39,,ENE,
CXXC1,10/03/2017 02:00 PDT,54.5,39.0,4.21,57.0,5.5,0.0,0.03,62.1,,13.0,3.6,,,29.87,,ENE,
CXXC1,10/03/2017 03:00 PDT,54.7,37.0,4.5,53.0,6.6,0.0,0.03,61.2,,12.9,3.9,,,28.75,,NE,
CXXC1,10/03/2017 04:00 PDT,53.8,38.0,3.49,71.0,5.5,0.0,0.04,59.7,,12.9,4.1,,,28.6,,ENE,
CXXC1,10/03/2017 05:00 PDT,55.9,34.0,4.0,66.0,5.91,0.0,0.04,58.5,,12.9,3.9,,,27.75,,ENE,
CXXC1,10/03/2017 06:00 PDT,56.5,28.0,3.69,90.0,6.6,0.0,0.04,57.4,,12.9,3.8,,,23.6,,E,
CXXC1,10/03/2017 07:00 PDT,50.2,34.0,2.51,52.0,6.51,0.0,0.04,56.3,,12.8,3.5,,,22.7,,NE,
CXXC1,10/03/2017 08:00 PDT,50.2,39.0,2.59,33.0,5.1,0.0,1.07,55.0,,12.8,3.8,,,26.0,,NNE,
CXXC1,10/03/2017 09:00 PDT,52.5,38.0,2.71,51.0,4.41,0.0,47.83,54.9,,14.1,3.3,,,27.43,,NE,
CXXC1,10/03/2017 10:00 PDT,56.5,35.0,2.1,264.0,11.21,0.0,286.4,60.3,,14.0,3.8,,,29.0,,W,
CXXC1,10/03/2017 11:00 PDT,59.7,43.0,8.1,293.0,12.3,0.0,490.3,68.2,,14.0,4.7,,,37.02,,WNW,
CXXC1,10/03/2017 12:00 PDT,64.0,30.0,5.39,278.0,10.8,0.0,665.6,76.5,,13.9,4.7,,,31.81,,W,
CXXC1,10/03/2017 13:00 PDT,67.6,28.0,7.09,255.0,18.41,0.0,783.7,82.9,,13.9,4.5,,,33.23,,WSW,
CXXC1,10/03/2017 14:00 PDT,69.3,28.0,11.61,237.0,19.1,0.0,841.0,87.3,,13.9,5.3,,,34.7,,WSW,
CXXC1,10/03/2017 15:00 PDT,64.8,48.0,10.69,262.0,18.81,0.0,827.0,87.3,,13.9,5.4,,,44.54,,W,
CXXC1,10/03/2017 16:00 PDT,68.0,41.0,11.01,285.0,21.3,0.0,752.1,87.3,,13.9,5.4,,,43.32,,WNW,
CXXC1,10/03/2017 17:00 PDT,63.1,50.0,13.0,281.0,23.4,0.0,618.1,85.1,,13.9,5.0,,,44.04,,W,
CXXC1,10/03/2017 18:00 PDT,59.5,53.0,13.8,307.0,24.09,0.0,432.3,81.0,,14.0,5.3,,,42.23,,NW,
CXXC1,10/03/2017 19:00 PDT,58.6,52.0,13.49,306.0,26.8,0.0,227.6,76.8,,14.0,4.9,,,40.9,,NW,
CXXC1,10/03/2017 20:00 PDT,55.8,49.0,9.4,314.0,18.99,0.0,38.47,72.3,,13.5,4.8,,,36.77,,NW,
CXXC1,10/03/2017 21:00 PDT,52.9,50.0,3.09,24.0,8.5,0.0,0.1,69.6,,13.3,4.0,,,34.61,,NNE,
CXXC1,10/03/2017 22:00 PDT,49.3,50.0,2.3,42.0,4.61,0.0,0.06,66.0,,13.2,4.0,,,31.28,,NE,
CXXC1,10/03/2017 23:00 PDT,50.9,46.0,3.0,76.0,5.61,0.0,0.04,63.1,,13.1,4.5,,,30.68,,ENE,
CXXC1,10/04/2017 00:00 PDT,50.7,44.0,3.49,50.0,5.61,0.0,0.06,61.2,,13.1,3.9,,,29.4,,NE,
CXXC1,10/04/2017 01:00 PDT,50.54,47.0,2.59,52.0,4.99,0.0,0.0,59.4,0.0,13.0,4.4,71.2,48.9,30.88,,NE,
CXXC1,10/04/2017 02:00 PDT,51.26,44.0,3.49,46.0,5.5,0.0,0.0,57.9,,13.0,4.5,,,29.91,,NE,
CXXC1,10/04/2017 03:00 PDT,49.64,47.0,4.41,48.0,6.4,0.0,0.0,56.8,,12.9,4.0,,,30.05,,NE,
